n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.03333333333333333,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.06666666666666667,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.1,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.13333333333333333,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.16666666666666666,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.2,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.23333333333333334,0.0,Dirichlet,7,0.0,0.0,0.0
8,0.26666666666666666,0.0,Dirichlet,8,0.0,0.0,0.0
9,0.3,0.0,Dirichlet,9,0.0,0.0,0.0
10,0.3333333333333333,0.0,Dirichlet,10,0.0,0.0,0.0
11,0.36666666666666664,0.0,Dirichlet,11,0.0,0.0,0.0
12,0.4,0.0,Dirichlet,12,0.0,0.0,0.0
13,0.43333333333333335,0.0,Dirichlet,13,0.0,0.0,0.0
14,0.4666666666666667,0.0,Dirichlet,14,0.0,0.0,0.0
15,0.5,0.0,Dirichlet,15,0.0,0.0,0.0
16,0.5333333333333333,0.0,Dirichlet,16,0.0,0.0,0.0
17,0.5666666666666667,0.0,Dirichlet,17,0.0,0.0,0.0
18,0.6,0.0,Dirichlet,18,0.0,0.0,0.0
19,0.6333333333333333,0.0,Dirichlet,19,0.0,0.0,0.0
20,0.6666666666666666,0.0,Dirichlet,20,0.0,0.0,0.0
21,0.7,0.0,Dirichlet,21,0.0,0.0,0.0
22,0.7333333333333333,0.0,Dirichlet,22,0.0,0.0,0.0
23,0.7666666666666666,0.0,Dirichlet,23,0.0,0.0,0.0
24,0.8,0.0,Dirichlet,24,0.0,0.0,0.0
25,0.8333333333333334,0.0,Dirichlet,25,0.0,0.0,0.0
26,0.8666666666666667,0.0,Dirichlet,26,0.0,0.0,0.0
27,0.9,0.0,Dirichlet,27,0.0,0.0,0.0
28,0.9333333333333333,0.0,Dirichlet,28,0.0,0.0,0.0
29,0.9666666666666667,0.0,Dirichlet,29,0.0,0.0,0.0
30,1.0,0.0,Dirichlet,30,0.0,-0.0,0.0
31,0.0,0.03333333333333333,Dirichlet,31,0.0,0.0,0.0
