n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.05,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.1,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.15000000000000002,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.2,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.25,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.30000000000000004,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.35000000000000003,0.0,Dirichlet,7,0.0,0.0,0.0
8,0.4,0.0,Dirichlet,8,0.0,0.0,0.0
9,0.45,0.0,Dirichlet,9,0.0,0.0,0.0
10,0.5,0.0,Dirichlet,10,0.0,0.0,0.0
11,0.55,0.0,Dirichlet,11,0.0,0.0,0.0
12,0.6000000000000001,0.0,Dirichlet,12,0.0,0.0,0.0
13,0.65,0.0,Dirichlet,13,0.0,0.0,0.0
14,0.7000000000000001,0.0,Dirichlet,14,0.0,0.0,0.0
15,0.75,0.0,Dirichlet,15,0.0,0.0,0.0
16,0.8,0.0,Dirichlet,16,0.0,0.0,0.0
17,0.8500000000000001,0.0,Dirichlet,17,0.0,0.0,0.0
18,0.9,0.0,Dirichlet,18,0.0,0.0,0.0
19,0.9500000000000001,0.0,Dirichlet,19,0.0,0.0,0.0
20,1.0,0.0,Dirichlet,20,0.0,-0.0,0.0
21,0.0,0.05,Dirichlet,21,0.0,0.0,0.0
22,0.05,0.05,Interno,22,0.0003140468977369851,0.0003210567148919753,7.009817154990253e-06
23,0.1,0.05,Interno,23,0.0004668109906900195,0.0004789665798611113,1.2155589171091818e-05
24,0.15000000000000002,0.05,Interno,24,0.000519195850635765,0.000535015480324074,1.5819629688309015e-05
25,0.2,0.05,Interno,25,0.0005142364116542065,0.0005325916975308644,1.8355285876657805e-05
26,0.25,0.05,Interno,26,0.00048109906259491544,0.0005011937210648149,2.0094658469899443e-05
27,0.30000000000000004,0.05,Interno,27,0.00043856167646838046,0.0004599036863425926,2.134200987421211e-05
28,0.35000000000000003,0.05,Interno,28,0.00039798997654401635,0.00042032643711419765,2.2336460570181302e-05
29,0.4,0.05,Interno,29,0.0003658142922255236,0.00038899421296296295,2.3179920737439325e-05
30,0.45,0.05,Interno,30,0.0003454505622729364,0.00036923696180555566,2.378639953261926e-05
31,0.5,0.05,Interno,31,0.00033852929507543567,0.0003625182773919754,2.3988982316539757e-05
32,0.55,0.05,Interno,32,0.0003454505622729366,0.0003692369618055556,2.378639953261899e-05
33,0.6000000000000001,0.05,Interno,33,0.0003658142922255246,0.000388994212962963,2.3179920737438403e-05
34,0.65,0.05,Interno,34,0.00039798997654401743,0.00042032643711419765,2.2336460570180218e-05
35,0.7000000000000001,0.05,Interno,35,0.0004385616764683827,0.0004599036863425928,2.1342009874210106e-05
36,0.75,0.05,Interno,36,0.0004810990625949191,0.0005011937210648149,2.0094658469895757e-05
37,0.8,0.05,Interno,37,0.000514236411654211,0.0005325916975308642,1.835528587665325e-05
38,0.8500000000000001,0.05,Interno,38,0.0005191958506357698,0.000535015480324074,1.5819629688304244e-05
39,0.9,0.05,Interno,39,0.00046681099069002536,0.0004789665798611112,1.2155589171085855e-05
40,0.9500000000000001,0.05,Interno,40,0.00031404689773698925,0.0003210567148919751,7.009817154985862e-06
41,1.0,0.05,Dirichlet,41,0.0,-0.0,0.0
42,0.0,0.1,Dirichlet,42,0.0,0.0,0.0
43,0.05,0.1,Interno,43,0.0004668109906900195,0.0004789665798611113,1.2155589171091818e-05
44,0.1,0.1,Interno,44,0.0006708188696728217,0.0006916900000000004,2.0871130327178734e-05
45,0.15000000000000002,0.1,Interno,45,0.0007176695264334017,0.0007445371354166672,2.686760898326548e-05
46,0.2,0.1,Interno,46,0.0006802952366654671,0.0007111111111111115,3.0815874445644376e-05
47,0.25,0.1,Interno,47,0.0006064827070101607,0.0006398450520833337,3.336234507317305e-05
48,0.30000000000000004,0.1,Interno,48,0.0005254511090571206,0.0005605833333333335,3.5132224276212946e-05
49,0.35000000000000003,0.1,Interno,49,0.0004534913834698157,0.0004901503298611113,3.6658946391295586e-05
50,0.4,0.1,Interno,50,0.000398722769166932,0.0004369066666666669,3.8183897499734915e-05
51,0.45,0.1,Interno,51,0.00036487422506239033,0.00040429296875000036,3.9418743687610024e-05
52,0.5,0.1,Interno,52,0.0003535836493129678,0.0003933611111111114,3.9777461798143625e-05
53,0.55,0.1,Interno,53,0.00036487422506239077,0.0004042929687500003,3.9418743687609536e-05
54,0.6000000000000001,0.1,Interno,54,0.0003987227691669341,0.0004369066666666669,3.81838974997328e-05
55,0.65,0.1,Interno,55,0.0004534913834698188,0.0004901503298611115,3.665894639129266e-05
56,0.7000000000000001,0.1,Interno,56,0.000525451109057125,0.0005605833333333338,3.5132224276208826e-05
57,0.75,0.1,Interno,57,0.0006064827070101687,0.0006398450520833337,3.3362345073165026e-05
58,0.8,0.1,Interno,58,0.0006802952366654771,0.0007111111111111117,3.081587444563462e-05
59,0.8500000000000001,0.1,Interno,59,0.0007176695264334114,0.0007445371354166671,2.6867608983255722e-05
60,0.9,0.1,Interno,60,0.0006708188696728322,0.0006916900000000003,2.087113032716811e-05
61,0.9500000000000001,0.1,Interno,61,0.0004668109906900272,0.00047896657986111095,1.2155589171083741e-05
62,1.0,0.1,Dirichlet,62,0.0,-0.0,0.0
63,0.0,0.15000000000000002,Dirichlet,63,0.0,0.0,0.0
64,0.05,0.15000000000000002,Interno,64,0.000519195850635765,0.000535015480324074,1.5819629688309015e-05
65,0.1,0.15000000000000002,Interno,65,0.0007176695264334016,0.000744537135416667,2.686760898326537e-05
66,0.15000000000000002,0.15000000000000002,Interno,66,0.0007329141065141823,0.0007670591840277777,3.4145077513595334e-05
67,0.2,0.15000000000000002,Interno,67,0.0006575083509468148,0.0006960949074074072,3.858655646059241e-05
68,0.25,0.15000000000000002,Interno,68,0.0005498092709962881,0.0005909344618055554,4.1125190809267295e-05
