n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.16666666666666666,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.3333333333333333,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.5,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.6666666666666666,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.8333333333333333,0.0,Dirichlet,5,0.0,0.0,0.0
6,1.0,0.0,Dirichlet,6,0.0,-0.0,0.0
7,0.0,0.16666666666666666,Dirichlet,7,0.0,0.0,0.0
8,0.16666666666666666,0.16666666666666666,Interno,8,0.0004016543066986745,0.0007293333714372813,0.00032767906473860683
9,0.3333333333333333,0.16666666666666666,Interno,9,7.099837105624165e-05,0.00038103947568968156,0.0003100411046334399
10,0.5,0.16666666666666666,Interno,10,0.0,0.00024112654320987667,0.00024112654320987667
11,0.6666666666666666,0.16666666666666666,Interno,11,7.09983710562333e-05,0.0003810394756896814,0.0003100411046334481
12,0.8333333333333333,0.16666666666666666,Interno,12,0.0004016543066986834,0.0007293333714372809,0.00032767906473859745
13,1.0,0.16666666666666666,Dirichlet,13,0.0,-0.0,0.0
14,0.0,0.3333333333333333,Dirichlet,14,0.0,0.0,0.0
15,0.16666666666666666,0.3333333333333333,Interno,15,7.099837105624243e-05,0.0003810394756896816,0.00031004110463343917
16,0.3333333333333333,0.3333333333333333,Interno,16,-6.0504901120260545e-05,3.810394756896818e-05,9.860884868922873e-05
17,0.5,0.3333333333333333,Neumann,17,0.00017950531550066896,2.1135033683261846e-36,0.00017950531550066896
18,0.6666666666666666,0.3333333333333333,Interno,18,-6.0504901120302944e-05,3.810394756896813e-05,9.860884868927107e-05
19,0.8333333333333333,0.3333333333333333,Interno,19,7.099837105626181e-05,0.0003810394756896813,0.0003100411046334195
20,1.0,0.3333333333333333,Dirichlet,20,0.0,-0.0,0.0
21,0.0,0.5,Dirichlet,21,0.0,0.0,0.0
22,0.16666666666666666,0.5,Interno,22,0.0,0.00024112654320987667,0.00024112654320987667
23,0.3333333333333333,0.5,Neumann,23,0.00017950531550066633,2.1135033683261846e-36,0.00017950531550066633
24,0.5,0.5,Externo,-1,,4.8225308641975306e-05,
25,0.6666666666666666,0.5,Neumann,24,0.00017950531550047955,8.454013473304738e-36,0.00017950531550047955
26,0.8333333333333333,0.5,Interno,25,0.0,0.00024112654320987634,0.00024112654320987634
27,1.0,0.5,Dirichlet,26,0.0,-0.0,0.0
28,0.0,0.6666666666666666,Dirichlet,27,0.0,0.0,0.0
29,0.16666666666666666,0.6666666666666666,Interno,28,7.099837105623209e-05,0.00038103947568968145,0.00031004110463344936
30,0.3333333333333333,0.6666666666666666,Interno,29,-6.0504901120326655e-05,3.810394756896813e-05,9.860884868929479e-05
31,0.5,0.6666666666666666,Neumann,30,0.00017950531550034584,8.454013473304738e-36,0.00017950531550034584
32,0.6666666666666666,0.6666666666666666,Interno,31,-6.050490112032048e-05,3.810394756896808e-05,9.860884868928855e-05
33,0.8333333333333333,0.6666666666666666,Interno,32,7.099837105628846e-05,0.0003810394756896813,0.0003100411046333928
34,1.0,0.6666666666666666,Dirichlet,33,0.0,-0.0,0.0
35,0.0,0.8333333333333333,Dirichlet,34,0.0,0.0,0.0
36,0.16666666666666666,0.8333333333333333,Interno,35,0.00040165430669869925,0.000729333371437281,0.00032767906473858173
37,0.3333333333333333,0.8333333333333333,Interno,36,7.099837105627372e-05,0.00038103947568968123,0.0003100411046334075
38,0.5,0.8333333333333333,Interno,37,0.0,0.00024112654320987634,0.00024112654320987634
39,0.6666666666666666,0.8333333333333333,Interno,38,7.099837105637946e-05,0.00038103947568968123,0.00031004110463330175
40,0.8333333333333333,0.8333333333333333,Interno,39,0.0004016543066987459,0.0007293333714372807,0.00032767906473853473
41,1.0,0.8333333333333333,Dirichlet,40,0.0,-0.0,0.0
42,0.0,1.0,Dirichlet,41,0.0,-0.0,0.0
43,0.16666666666666666,1.0,Dirichlet,42,0.0,-0.0,0.0
44,0.3333333333333333,1.0,Dirichlet,43,0.0,-0.0,0.0
45,0.5,1.0,Dirichlet,44,0.0,-0.0,0.0
46,0.6666666666666666,1.0,Dirichlet,45,0.0,-0.0,0.0
47,0.8333333333333333,1.0,Dirichlet,46,0.0,-0.0,0.0
48,1.0,1.0,Dirichlet,47,0.0,0.0,0.0
